Date,Open,High,Low,Close,Adj Close,Volume
"Sep 5, 2025",232.20,235.76,231.90,235.00,235.00,"46,566,300"
"Sep 4, 2025",229.65,232.37,226.11,232.30,232.30,"51,684,200"
"Sep 3, 2025",226.21,231.31,224.79,230.66,230.66,"103,336,100"
"Sep 2, 2025",208.44,211.68,206.20,211.35,211.35,"47,523,000"
"Aug 29, 2025",210.51,214.65,210.20,212.91,212.91,"39,728,400"
"Aug 28, 2025",207.25,212.22,206.90,211.64,211.64,"32,339,300"
"Aug 27, 2025",205.70,208.91,205.65,207.48,207.48,"23,022,900"
"Aug 26, 2025",207.51,207.85,205.70,207.14,207.14,"28,464,100"
"Aug 25, 2025",206.43,210.52,205.28,208.49,208.49,"29,928,900"
"Aug 22, 2025",202.73,208.54,201.30,206.09,206.09,"42,827,000"
"Aug 21, 2025",199.75,202.48,199.43,199.75,199.75,"19,774,600"
"Aug 20, 2025",200.73,201.28,196.60,199.32,199.32,"28,955,500"
"Aug 19, 2025",203.03,203.44,199.96,201.57,201.57,"24,240,200"
"Aug 18, 2025",204.20,205.27,202.49,203.50,203.50,"18,526,600"
"Aug 15, 2025",203.85,206.44,201.28,203.90,203.90,"34,931,400"
"Aug 14, 2025",201.50,204.44,201.23,202.94,202.94,"25,230,400"
"Aug 13, 2025",204.13,204.53,197.51,201.96,201.96,"28,342,900"
"Aug 12, 2025",201.37,204.50,200.59,203.34,203.34,"30,397,900"
"Aug 11, 2025",200.94,201.48,199.07,201.00,201.00,"25,832,400"
"Aug 8, 2025",197.22,202.61,197.17,201.42,201.42,"39,161,800"
"Aug 7, 2025",197.06,197.54,194.33,196.52,196.52,"26,321,800"
"Aug 6, 2025",194.50,196.63,193.67,196.09,196.09,"21,562,900"
"Aug 5, 2025",194.71,197.86,193.89,194.67,194.67,"31,602,300"
"Aug 4, 2025",190.29,195.27,190.12,195.04,195.04,"31,547,400"
"Aug 1, 2025",189.03,190.83,187.82,189.13,189.13,"34,832,200"
"Jul 31, 2025",195.71,195.99,191.09,191.90,191.90,"51,329,200"
"Jul 30, 2025",195.60,197.60,194.69,196.53,196.53,"32,445,400"
"Jul 29, 2025",192.43,195.92,192.08,195.75,195.75,"41,389,200"
"Jul 28, 2025",193.65,194.05,190.84,192.58,192.58,"38,139,500"
"Jul 25, 2025",191.98,194.33,191.26,193.18,193.18,"39,785,900"
"Jul 24, 2025",197.03,197.95,191.00,192.17,192.17,"74,881,700"
"Jul 23, 2025",191.50,192.53,189.18,190.23,190.23,"58,681,900"
"Jul 22, 2025",191.50,191.65,187.46,191.34,191.34,"44,660,200"
"Jul 21, 2025",186.25,190.29,186.15,190.10,190.10,"45,803,100"
"Jul 18, 2025",185.40,186.42,183.71,185.06,185.06,"34,014,500"
"Jul 17, 2025",182.14,184.06,180.48,183.58,183.58,"31,992,600"
"Jul 16, 2025",183.24,184.33,182.03,182.97,182.97,"33,104,200"
"Jul 15, 2025",182.81,184.22,181.60,182.00,182.00,"33,448,300"
