Date,Open,High,Low,Close,Adj Close,Volume
"Sep 5, 2025",165.14,176.18,163.98,167.80,167.80,"36,736,100"
"Sep 4, 2025",200.90,206.64,197.67,206.09,206.09,"15,476,700"
"Sep 3, 2025",201.30,203.01,197.61,198.53,198.53,"4,083,900"
"Sep 2, 2025",199.81,201.27,195.58,200.21,200.21,"4,433,500"
"Aug 29, 2025",204.62,205.80,200.71,202.20,202.20,"3,169,700"
"Aug 28, 2025",206.05,206.61,202.38,205.08,205.08,"2,831,500"
"Aug 27, 2025",203.80,207.67,203.50,205.57,205.57,"3,423,100"
"Aug 26, 2025",204.36,204.39,200.50,202.53,202.53,"2,501,800"
"Aug 25, 2025",206.70,208.00,202.37,202.44,202.44,"2,933,100"
"Aug 22, 2025",198.50,208.13,198.50,207.59,207.59,"3,808,700"
"Aug 21, 2025",196.91,198.48,195.20,198.18,198.18,"2,222,700"
"Aug 20, 2025",197.68,200.30,195.31,198.12,198.12,"2,863,100"
"Aug 19, 2025",204.70,205.89,196.52,197.66,197.66,"4,329,100"
"Aug 18, 2025",200.34,206.74,200.31,203.62,203.62,"4,864,400"
"Aug 15, 2025",200.78,201.14,196.40,198.46,198.46,"4,757,500"
"Aug 14, 2025",196.90,197.02,192.35,195.19,195.19,"4,102,400"
"Aug 13, 2025",195.61,200.83,192.85,200.49,200.49,"4,239,300"
"Aug 12, 2025",188.16,193.15,186.76,192.93,192.93,"3,392,700"
"Aug 11, 2025",189.13,192.00,185.95,186.44,186.44,"2,581,800"
"Aug 8, 2025",191.08,191.25,186.52,189.43,189.43,"3,191,200"
"Aug 7, 2025",197.70,198.10,189.77,191.14,191.14,"3,160,100"
"Aug 6, 2025",195.65,198.15,194.85,196.51,196.51,"2,143,800"
"Aug 5, 2025",195.48,197.82,194.64,195.07,195.07,"2,871,600"
"Aug 4, 2025",195.08,197.49,192.81,196.45,196.45,"3,524,500"
"Aug 1, 2025",199.94,200.00,191.44,193.33,193.33,"4,697,900"
"Jul 31, 2025",203.97,206.64,200.24,200.53,200.53,"4,173,900"
"Jul 30, 2025",214.00,214.15,205.89,206.47,206.47,"3,850,900"
"Jul 29, 2025",216.00,219.12,213.88,214.04,214.04,"2,585,600"
"Jul 28, 2025",220.32,220.70,216.33,216.59,216.59,"2,368,800"
"Jul 25, 2025",220.25,220.51,216.49,219.43,219.43,"2,638,000"
"Jul 24, 2025",223.41,225.31,218.45,218.69,218.69,"3,480,300"
"Jul 23, 2025",225.00,226.24,222.87,224.03,224.03,"2,212,100"
"Jul 22, 2025",221.77,225.45,221.09,223.93,223.93,"3,309,000"
"Jul 21, 2025",229.97,230.50,222.65,223.21,223.21,"2,985,000"
"Jul 18, 2025",232.79,233.00,228.07,229.77,229.77,"2,552,700"
"Jul 17, 2025",227.00,233.75,226.93,233.31,233.31,"2,956,100"
"Jul 16, 2025",224.15,227.66,222.46,226.11,226.11,"3,228,100"
"Jul 15, 2025",229.19,230.54,222.06,222.19,222.19,"4,770,100"
"Jul 14, 2025",235.61,236.19,228.75,228.89,228.89,"3,392,300"
"Jul 11, 2025",237.04,238.45,235.53,236.51,236.51,"1,670,100"
"Jul 10, 2025",237.77,241.84,234.65,238.52,238.52,"2,594,900"
"Jul 9, 2025",239.27,239.27,232.09,235.89,235.89,"3,235,500"
"Jul 8, 2025",237.58,239.79,235.00,238.54,238.54,"2,317,500"
"Jul 7, 2025",245.90,247.00,235.30,237.57,237.57,"3,317,300"
"Jul 3, 2025",247.40,249.97,246.00,247.68,247.68,"1,646,300"
"Jul 2, 2025",245.66,252.24,236.32,246.30,246.30,"5,344,900"
"Jul 1, 2025",237.23,247.78,237.00,245.12,245.12,"3,879,100"
"Jun 30, 2025",236.32,238.09,233.85,237.58,237.58,"2,964,500"
"Jun 27, 2025",235.00,237.20,231.50,235.02,235.02,"6,204,700"
"Jun 26, 2025",232.46,232.92,227.60,231.58,231.58,"3,115,400"
"Jun 25, 2025",234.52,234.90,229.35,231.52,231.52,"2,676,900"
"Jun 24, 2025",227.81,233.49,227.55,232.93,232.93,"3,789,200"
"Jun 23, 2025",226.73,227.00,219.97,225.56,225.56,"4,699,800"
"Jun 20, 2025",230.70,231.30,227.12,227.47,227.47,"4,903,100"
"Jun 18, 2025",235.41,235.69,228.45,228.65,228.65,"4,682,200"
"Jun 17, 2025",240.82,241.30,234.59,235.20,235.20,"3,391,500"
"Jun 16, 2025",241.62,242.06,238.26,241.29,241.29,"3,643,100"
"Jun 13, 2025",244.58,248.25,238.25,239.11,239.11,"4,525,600"
"Jun 12, 2025",251.80,251.80,246.56,247.03,247.03,"4,165,200"
"Jun 11, 2025",260.86,261.30,251.52,252.28,252.28,"4,461,800"
"Jun 10, 2025",260.00,262.16,257.40,258.50,258.50,"3,950,800"
"Jun 9, 2025",266.54,266.95,259.00,259.04,259.04,"5,395,300"
"Jun 6, 2025",271.18,275.60,262.09,265.27,265.27,"16,112,200"
"Jun 5, 2025",335.11,338.49,329.60,330.78,330.78,"5,233,900"
"Jun 4, 2025",333.53,339.15,333.39,335.19,335.19,"2,293,700"
